k,averageTime
2,50671
4,93059
6,99525
8,126940
10,135471
12,135213
14,136076
16,168059
18,169898
20,175685
22,179329
24,181394
26,185635
28,185396
30,190024
32,215267
34,214481
36,220603
38,227473
40,230108
42,234560
44,231174
46,227608
48,234629
50,237897
52,244192
54,246164
56,243979
58,251287
60,249926
62,251136
64,282356
66,280815
68,284865
70,287506
72,288452
74,290949
76,293491
78,301499
80,296506
82,292224
84,298768
86,302948
88,304651
90,302511
92,308234
94,309220
96,309281
98,315336
100,309894
